,CONTRIB_CF_Q_0,CONTRIB_CO_Q_0,CONTRIB_CG_Q_0,CONTRIB_IP_Q_0,CONTRIB_IG_Q_0,CONTRIB_IPC_Q_0,CONTRIB_EX_Q_0,CONTRIB_IM_Q_0,CONTRIB_JJ_Q_0
1962-01-01,,,,,,,,,
1962-04-01,,,,,,,,,
1962-07-01,,,,,,,,,
1962-10-01,,,,,,,,,
1963-01-01,,,,,,,,,
1963-04-01,,,,,,,,,
1963-07-01,,,,,,,,,
1963-10-01,,,,,,,,,
1964-01-01,,,,,,,,,
1964-04-01,,,,,,,,,
1964-07-01,,,,,,,,,
1964-10-01,,,,,,,,,
1965-01-01,,,,,,,,,
1965-04-01,,,,,,,,,
1965-07-01,,,,,,,,,
1965-10-01,,,,,,,,,
1966-01-01,,,,,,,,,
1966-04-01,,,,,,,,,
1966-07-01,,,,,,,,,
1966-10-01,,,,,,,,,
1967-01-01,,,,,,,,,
1967-04-01,,,,,,,,,
1967-07-01,,,,,,,,,
1967-10-01,,,,,,,,,
1968-01-01,,,,,,,,,
1968-04-01,,,,,,,,,
1968-07-01,,,,,,,,,
1968-10-01,,,,,,,,,
1969-01-01,,,,,,,,,
1969-04-01,,,,,,,,,
1969-07-01,,,,,,,,,
1969-10-01,,,,,,,,,
1970-01-01,,,,,,,,,
1970-04-01,,,,,,,,,
1970-07-01,,,,,,,,,
1970-10-01,,,,,,,,,
1971-01-01,,,,,,,,,
1971-04-01,,,,,,,,,
1971-07-01,,,,,,,,,
1971-10-01,,,,,,,,,
1972-01-01,,,,,,,,,
1972-04-01,,,,,,,,,
1972-07-01,,,,,,,,,
1972-10-01,,,,,,,,,
1973-01-01,,,,,,,,,
1973-04-01,,,,,,,,,
1973-07-01,,,,,,,,,
1973-10-01,,,,,,,,,
1974-01-01,,,,,,,,,
1974-04-01,,,,,,,,,
1974-07-01,,,,,,,,,
1974-10-01,,,,,,,,,
1975-01-01,,,,,,,,,
1975-04-01,,,,,,,,,
1975-07-01,,,,,,,,,
1975-10-01,,,,,,,,,
1976-01-01,,,,,,,,,
1976-04-01,,,,,,,,,
1976-07-01,,,,,,,,,
1976-10-01,,,,,,,,,
1977-01-01,,,,,,,,,
1977-04-01,,,,,,,,,
1977-07-01,,,,,,,,,
1977-10-01,,,,,,,,,
1978-01-01,,,,,,,,,
1978-04-01,,,,,,,,,
1978-07-01,,,,,,,,,
1978-10-01,,,,,,,,,
1979-01-01,,,,,,,,,
1979-04-01,,,,,,,,,
1979-07-01,,,,,,,,,
1979-10-01,,,,,,,,,
1980-01-01,,,,,,,,,
1980-04-01,,,,,,,,,
1980-07-01,,,,,,,,,
1980-10-01,,,,,,,,,
1981-01-01,,,0.94,1.01,0.46,2.93,-0.01,3.35,2.08
1981-04-01,,,0.75,1.53,0.63,-1.54,7.47,1.75,-2.35
1981-07-01,,,0.58,0.57,0.4,-1.09,6.84,-3.68,-6.17
1981-10-01,,,-0.16,0.53,0.42,0.46,4.29,0.0,-1.3
1982-01-01,,,1.55,-0.66,0.7,-0.79,4.33,-5.25,-8.38
1982-04-01,,,1.32,-0.59,1.24,0.67,-1.01,-3.25,-2.46
1982-07-01,,,0.93,-0.18,-0.19,0.38,0.14,0.05,0.85
1982-10-01,,,0.75,0.73,-0.32,0.39,0.34,1.56,1.04
1983-01-01,0.48919880935961757,2.270217045254986,0.98,-0.37,-0.41,-0.16,2.43,0.83,-0.11
1983-04-01,0.42717987026411436,3.1773351555916762,1.0,-0.24,-0.64,-0.95,8.65,0.82,-2.01
1983-07-01,0.29074726490990166,3.1082531023377804,1.01,1.71,0.17,-1.24,11.04,5.93,1.38
1983-10-01,0.48965829020729096,4.119846256264105,1.07,2.82,0.23,-0.67,11.87,10.3,2.43
1984-01-01,0.687541591875137,4.173617329386457,1.36,2.58,0.26,-0.88,13.81,6.73,-3.21
1984-04-01,0.6479518328705307,4.204710675573855,1.03,2.38,0.08,-0.56,12.79,9.43,0.73
1984-07-01,0.5447836040136149,4.3143077180590375,1.92,2.3,0.51,-0.59,8.27,7.98,0.73
1984-10-01,0.4605643203862634,3.7928313997224543,1.47,1.47,0.6,-1.82,4.73,0.37,-2.82
1985-01-01,0.2804075384674713,3.152894572010941,1.05,0.31,0.14,-0.33,2.77,2.74,1.23
1985-04-01,0.23831250611126598,2.2879090041835295,1.22,-0.13,0.24,-1.48,-0.33,-2.12,0.24
1985-07-01,0.33486810335577805,2.025834516622434,0.93,-1.02,0.44,0.02,-0.82,-6.19,-4.45
1985-10-01,0.4489243647507796,2.222160713734074,1.24,-1.58,0.48,-0.32,3.24,-1.59,-1.45
1986-01-01,0.37487523157168107,3.2459461360548594,0.96,0.6,0.48,0.1,11.01,3.68,-2.74
1986-04-01,0.41109303237512607,2.936849511650664,1.14,0.33,0.64,0.0,11.41,8.91,1.74
1986-07-01,0.39365110462737324,4.1944732893771235,0.11,2.5,0.24,0.59,16.29,10.67,-1.03
1986-10-01,0.27080023108359114,4.282631035983762,0.45,3.35,0.4,1.15,20.25,13.08,-2.89
1987-01-01,0.4043401931317977,5.177838474876604,1.03,2.74,0.25,1.23,11.92,7.57,-1.67
1987-04-01,0.5986590483636912,4.96005144211948,1.17,3.32,0.21,1.0,15.86,11.02,-1.58
1987-07-01,0.3659446937453668,4.967411912393848,2.11,3.74,0.71,-0.41,13.31,10.34,-0.46
1987-10-01,0.4474089524640624,5.62127004203828,2.07,2.55,0.5,0.25,5.33,12.51,6.4
1988-01-01,0.5324375800596679,5.569417294343263,1.29,2.38,0.89,-0.28,5.92,19.01,11.73
1988-04-01,0.5577760046855543,5.619705788143395,1.13,2.12,1.15,0.22,2.56,7.11,1.28
1988-07-01,0.6575143562363371,6.814515700693305,1.31,1.91,0.76,0.41,0.65,10.43,6.23
1988-10-01,0.5607555085088611,7.030887623400502,1.14,2.1,0.86,0.11,5.61,4.05,-4.55
1989-01-01,0.3834896957759609,6.886649196455141,1.61,2.22,0.61,0.55,2.59,-1.41,-6.68
1989-04-01,0.4117626473975034,7.3922719713507545,1.49,2.06,0.88,0.16,2.4,5.79,0.75
1989-07-01,0.5846702306420404,7.272288618839323,2.86,1.63,0.94,1.07,5.12,4.43,-5.9
1989-10-01,0.3467793714656779,6.542441579879347,2.45,0.64,0.91,1.14,0.08,3.59,-0.11
1990-01-01,0.5181822616726826,7.031433307766065,2.9,0.01,0.97,2.13,-0.59,5.35,0.17
1990-04-01,0.47923090081684006,4.410120459151902,2.7,-1.95,1.48,2.21,-2.08,2.43,-0.6
1990-07-01,0.4414370414890576,3.3325721599549842,1.65,-0.54,1.14,0.96,0.14,-1.26,-4.12
1990-10-01,0.3231320659098578,3.341054445748768,1.53,0.07,1.42,0.9,3.47,2.4,-1.91
1991-01-01,0.38296827239154146,2.5686515492417494,1.44,-0.11,1.17,-0.01,4.73,3.64,0.49
1991-04-01,0.22115016775837917,4.669357971101724,1.43,-0.05,1.87,1.03,7.68,5.92,-1.99
1991-07-01,0.29461942226193827,4.485556066652888,1.27,1.4,1.38,0.51,6.87,10.89,4.12
1991-10-01,0.4070376787180926,3.777852477627355,1.25,1.5,1.65,0.36,5.07,4.62,-0.75
1992-01-01,0.2580926421348946,5.569711600455013,0.86,2.15,1.38,0.46,5.79,5.19,-0.42
1992-04-01,0.32510233716201803,5.159701784600267,0.6,2.27,0.41,-0.11,3.48,4.34,0.99
1992-07-01,0.3009708727754112,4.8215917589086015,0.33,2.64,0.03,-0.35,0.74,1.51,1.18
1992-10-01,0.3355987494547512,5.13692202938093,0.31,2.86,-0.17,-0.17,3.46,5.63,0.66
1993-01-01,0.4014797756654715,4.1394539482609725,1.03,1.46,0.35,-0.3,3.71,3.99,0.09
1993-04-01,0.40823061451794507,4.0028484107777595,0.69,1.84,1.35,-0.27,3.66,3.49,-0.98
1993-07-01,0.45045020070209285,4.082141854722824,0.08,2.21,0.95,-0.39,3.37,2.53,-1.55
1993-10-01,0.42108355127906716,3.810065693018371,0.41,2.71,1.3,-0.78,2.39,2.92,-0.46
1994-01-01,0.3586304971798499,4.571382361010906,0.07,1.87,1.13,-0.83,0.54,1.83,0.28
1994-04-01,0.3360963541385546,4.174831375370058,0.42,1.16,1.77,-0.43,1.29,0.56,-0.32
1994-07-01,0.2263808357770921,4.878424843302288,-0.12,1.82,0.92,-0.49,1.72,1.19,-0.52
1994-10-01,0.28090170061494824,4.432867116435489,0.05,2.58,0.72,0.01,5.37,3.19,-0.86
1995-01-01,0.2875705639552458,1.7620699489231568,1.65,1.83,0.35,0.06,5.56,2.15,-1.82
1995-04-01,0.18405046289459762,2.398282140780836,1.72,2.13,0.09,-0.05,5.51,5.7,0.28
