,GDP_0,CP_0,CG,IFIX_0,IP_0,IPC,IG,JJ_0,NETEXPORT_0,EX_0,IM_0,CPI_0,WPI_0,M1B_0,M2_0,EROC
1962-01-01,,,,,,,,,,,,,,76.6666666666666,175.666666666666,
1962-04-01,,,,,,,,,,,,,,75.6666666666666,181.666666666666,
1962-07-01,,,,,,,,,,,,,,75.6666666666666,187.666666666666,
1962-10-01,,,,,,,,,,,,,,79.3333333333333,196.333333333333,
1963-01-01,,,,,,,,,,,,,,81.3333333333333,206.0,
1963-04-01,,,,,,,,,,,,,,81.6666666666666,213.666666666666,
1963-07-01,,,,,,,,,,,,,,89.6666666666666,234.666666666666,
1963-10-01,,,,,,,,,,,,,,101.333333333333,252.0,
1964-01-01,,,,,,,,,,,,,,112.666666666666,279.666666666666,
1964-04-01,,,,,,,,,,,,,,120.333333333333,299.333333333333,
1964-07-01,,,,,,,,,,,,,,127.333333333333,318.0,
1964-10-01,,,,,,,,,,,,,,135.333333333333,325.333333333333,
1965-01-01,,,,,,,,,,,,,,145.333333333333,341.666666666666,
1965-04-01,,,,,,,,,,,,,,143.0,346.0,
1965-07-01,,,,,,,,,,,,,,144.333333333333,357.0,
1965-10-01,,,,,,,,,,,,,,149.666666666666,370.666666666666,
1966-01-01,,,,21185.0,14444.0,2905.0,3654.0,,,,,,,154.0,388.666666666666,
1966-04-01,,,,24626.0,13863.0,5309.0,4873.0,,,,,,,159.666666666666,408.0,
1966-07-01,,,,24720.0,16014.0,3863.0,4598.0,,,,,,,166.666666666666,431.666666666666,
1966-10-01,,,,29832.0,17691.0,6225.0,4952.0,,,,,,,172.666666666666,451.0,
1967-01-01,,,,28433.0,19282.0,4578.0,3680.0,,,,,,,182.666666666666,477.333333333333,
1967-04-01,,,,31077.0,17962.0,6454.0,5925.0,,,,,,,190.666666666666,499.333333333333,
1967-07-01,,,,29579.0,18106.0,5507.0,5362.0,,,,,,,197.666666666666,522.666666666666,
1967-10-01,,,,35741.0,18318.0,9542.0,6152.0,,,,,,,217.0,553.666666666666,
1968-01-01,,,,31324.0,20638.0,5422.0,4200.0,,,,,,,238.666666666666,582.333333333333,
1968-04-01,,,,38133.0,21406.0,8465.0,7169.0,,,,,,,247.666666666666,606.0,
1968-07-01,,,,34061.0,19566.0,7508.0,5806.0,,,,,,,247.666666666666,616.666666666666,
1968-10-01,,,,48647.0,25507.0,12881.0,7817.0,,,,,,,252.0,629.333333333333,
1969-01-01,,,,32969.0,19551.0,7216.0,4797.0,,,,,,,254.333333333333,633.0,
1969-04-01,,,,44209.0,20795.0,13057.0,8159.0,,,,,,,267.666666666666,667.333333333333,
1969-07-01,,,,42679.0,28771.0,6996.0,5504.0,,,,,,,277.666666666666,698.0,
1969-10-01,,,,52561.0,26971.0,12388.0,12295.0,,,,,,,291.666666666666,745.0,
1970-01-01,,,,40808.0,25399.0,7567.0,6684.0,,,,,,,306.0,779.666666666666,
1970-04-01,,,,48408.0,23976.0,11709.0,12049.0,,,,,,,311.0,815.666666666666,
1970-07-01,,,,52012.0,29492.0,12176.0,8125.0,,,,,,,316.0,845.333333333333,
1970-10-01,,,,62809.0,33662.0,14585.0,12971.0,,,,,,,328.0,896.666666666666,
1971-01-01,,,,48406.0,24951.0,13184.0,7862.0,,,,,,,366.666666666666,970.0,
1971-04-01,,,,56736.0,27672.0,14617.0,13125.0,,,,,,,381.666666666666,1035.66666666666,
1971-07-01,,,,65995.0,41445.0,12307.0,10256.0,,,,,,,400.666666666666,1099.33333333333,
1971-10-01,,,,82603.0,44512.0,21926.0,11650.0,,,,,,,427.666666666666,1158.33333333333,
1972-01-01,,,,63636.0,35917.0,15864.0,8572.0,,,,,,,465.0,1223.0,
1972-04-01,,,,78418.0,41172.0,20661.0,13012.0,,,,,,,489.333333333333,1299.66666666666,
1972-07-01,,,,73715.0,33281.0,23082.0,13509.0,,,,,,,511.0,1389.0,
1972-10-01,,,,85080.0,52123.0,16970.0,13061.0,,,,,,,568.666666666666,1511.66666666666,
1973-01-01,,,,66746.0,36916.0,16082.0,11033.0,,,,,,,665.666666666666,1670.33333333333,
1973-04-01,,,,89836.0,53554.0,19212.0,13637.0,,,,,,,738.0,1802.66666666666,
1973-07-01,,,,86234.0,53146.0,15867.0,15111.0,,,,,,,814.666666666666,1938.33333333333,
1973-10-01,,,,91709.0,48755.0,24334.0,14055.0,,,,,,,876.0,2006.33333333333,
1974-01-01,,,,74498.0,43175.0,15903.0,13032.0,,,,,,,929.666666666666,2061.66666666666,
1974-04-01,,,,93814.0,44159.0,28669.0,16109.0,,,,,,,898.333333333333,2141.0,
1974-07-01,,,,100665.0,54435.0,26405.0,14810.0,,,,,,,935.666666666666,2317.0,
1974-10-01,,,,109839.0,65715.0,23951.0,15559.0,,,,,,,959.333333333333,2451.0,
1975-01-01,,,,86985.0,35479.0,29663.0,17239.0,,,,,,,1043.33333333333,2704.66666666666,
1975-04-01,,,,114388.0,45930.0,39604.0,22702.0,,,,,,,1122.0,2862.33333333333,
1975-07-01,,,,115571.0,57899.0,30409.0,23074.0,,,,,,,1194.66666666666,3048.0,
1975-10-01,,,,134848.0,61274.0,41489.0,25607.0,,,,,,,1264.66666666666,3184.33333333333,
1976-01-01,,,,109305.0,37928.0,40149.0,25854.0,,,,,,,1345.33333333333,3353.66666666666,
1976-04-01,,,,133618.0,46510.0,48170.0,32985.0,,,,,,,1357.33333333333,3467.33333333333,
1976-07-01,,,,106866.0,55235.0,23231.0,27480.0,,,,,,,1391.66666666666,3636.66666666666,
1976-10-01,,,,119498.0,60192.0,27280.0,30689.0,,,,,,,1505.33333333333,3904.66666666666,
1977-01-01,,,,106975.0,44237.0,29123.0,32732.0,,,,,,,1631.0,4221.33333333333,
1977-04-01,,,,130596.0,54331.0,33947.0,42244.0,,,,,,,1731.0,4522.66666666666,
1977-07-01,,,,118687.0,64877.0,22436.0,31335.0,,,,,,,1856.66666666666,4845.0,
1977-10-01,,,,130785.0,68427.0,28292.0,32719.0,,,,,,,2040.66666666666,5189.0,
1978-01-01,,,,129203.0,59715.0,33570.0,33589.0,,,,,,,2224.66666666666,5554.0,
1978-04-01,,,,153125.0,65310.0,45771.0,37144.0,,,,,,,2390.33333333333,5903.66666666666,
1978-07-01,,,,125402.0,71148.0,23933.0,29209.0,,,,,,,2529.0,6339.33333333333,
1978-10-01,,,,146304.0,80904.0,31950.0,30137.0,,,,,,,2773.33333333333,6792.0,
1979-01-01,,,,142090.0,72575.0,33695.0,32931.0,,,,,,,2995.0,7166.0,
1979-04-01,,,,175266.0,81897.0,49212.0,38282.0,,,,,,,2871.33333333333,7023.66666666666,
1979-07-01,,,,142999.0,79363.0,30581.0,30098.0,,,,,,,2913.33333333333,7128.66666666666,
1979-10-01,,,,169959.0,88945.0,41982.0,33728.0,,,,,,,3046.66666666666,7462.33333333333,
1980-01-01,,,,149930.0,78318.0,35456.0,32520.0,,,,,,,3323.66666666666,7965.33333333333,36.0287
1980-04-01,,,,210723.0,93208.0,65248.0,43354.0,,,,,,,3417.0,8272.66666666666,36.047
1980-07-01,,,,177684.0,85834.0,50358.0,34350.0,,,,,,,3580.33333333333,8648.0,35.9677
1980-10-01,,,,189556.0,98499.0,48088.0,36514.0,,,,,,,3797.66666666666,9123.66666666666,35.9397
1981-01-01,597718.0,374434.0,154544.0,174703.0,83816.0,48686.0,35893.0,17099.0,-67531.0,,,53.63,91.9147991666666,4013.66666666666,9651.0,36.0167
1981-04-01,628045.0,338239.0,156539.0,214028.0,101868.0,57912.0,47823.0,-90.0,-42079.0,,,54.3333333333333,93.14618476,3951.66666666666,9819.66666666666,36.3823
