,消費者物價基本分類指數_總指數,進口物價基本分類指數(按HS)(美元計價)_總指數,進口物價基本分類指數(按HS)(新臺幣計價)_總指數,出口物價基本分類指數(按HS)(美元計價)_總指數,出口物價基本分類指數(按HS)(新臺幣計價)_總指數,營造工程物價指數_營造工程總指數,工業生產指數_總指數,外銷訂單按主要接單地區_美金計價(百萬美元)-美國,外銷訂單按主要接單地區_美金計價(百萬美元)-中國大陸(含香港),外銷訂單按主要接單地區_美金計價(百萬美元)-歐洲,外銷訂單按主要接單地區_美金計價(百萬美元)-日本,外銷訂單按主要接單地區_美金計價(百萬美元)-東協六國,外銷訂單按主要接單貨品_美金計價(百萬美元)-化學品,外銷訂單按主要接單貨品_美金計價(百萬美元)-塑膠、橡膠及其製品,外銷訂單按主要接單貨品_美金計價(百萬美元)-紡織品,外銷訂單按主要接單貨品_美金計價(百萬美元)-基本金屬及其製品,外銷訂單按主要接單貨品_美金計價(百萬美元)-電子產品,外銷訂單按主要接單貨品_美金計價(百萬美元)-機械,外銷訂單按主要接單貨品_美金計價(百萬美元)-電機產品,外銷訂單按主要接單貨品_美金計價(百萬美元)-資訊與通信產品,外銷訂單按主要接單貨品_美金計價(百萬美元)-運輸工具及其設備,外銷訂單按主要接單貨品_美金計價(百萬美元)-光學器材,批發零售及餐飲業營業額_批發業,批發零售及餐飲業營業額_零售業,批發零售及餐飲業營業額_餐飲業,人力資源主要指標_失業率(%),每人每月總薪資_工業部門,每人每月總薪資_服務業部門,貨幣總計數_月底數-貨幣總計數-M1A,貨幣總計數_月底數-貨幣總計數-M2,利率統計-貨幣市場利率_金融業拆款,外匯統計-美元即期匯率及遠期信用狀美金利率_美元即期匯率-銀行間收盤匯率-日平均(新臺幣元),集中市場證券總成交值概況_總成交值(十億元),集中市場股票交易概況_總成交值(十億元),集中市場股票交易概況_成交量(十億股),進出口貿易總值(一般貿易制度)_USD(百萬美元)-出口,進出口貿易總值(一般貿易制度)_USD(百萬美元)-進口,進出口貿易總值(一般貿易制度)_NTD(百萬元)-出口,進出口貿易總值(一般貿易制度)_NTD(百萬元)-進口,航空客、貨運_貨運噸數(公噸),各國際商港貨物吞吐量_總計-基隆港,各國際商港貨物吞吐量_總計-高雄港,各國際商港貨物吞吐量_總計-花蓮港,各國際商港貨物吞吐量_總計-臺中港,各國際商港貨物吞吐量_總計-蘇澳港,各國際商港貨物吞吐量_總計-安平港,各國際商港貨物吞吐量_總計-臺北港,景氣指標統計_景氣領先指標綜合指數(點),景氣指標統計_景氣領先指標不含趨勢指數(點),景氣指標統計_景氣同時指標綜合指數(點),景氣指標統計_景氣同時指標不含趨勢指數(點),景氣指標統計_景氣對策信號(分)
1991-01-01,64.7,77.98,75.71,119.5,115.99,43.91,,1896,654,1038,858,193,91,361,924,431,693,455,219,428,233,158,,,,1.37,27498.0,30865.0,,,,,,,,6241.5,5718.7,169331,155720,,,,,,,,,21.13,89.36,23.04,97.42,20.0
1991-02-01,65.09,76.8,74.39,119.79,115.99,43.99,,1696,505,1187,724,165,80,361,826,373,689,417,184,389,313,125,,,,1.35,38983.0,47319.0,,,,,,,,4924.2,4439.2,133249,120569,,,,,,,,,21.52,90.73,23.15,97.57,19.0
1991-03-01,64.77,76.33,74.32,119.42,116.21,43.89,,2017,682,1135,943,194,116,465,1049,541,705,557,221,428,328,136,,,,1.39,22292.0,26106.0,,,,,,,,5724.9,5068.2,155431,138108,,,,,,,,,22.02,92.48,23.34,98.04,19.0
1991-04-01,65.19,74.62,72.89,119.47,116.67,43.93,,2089,741,1191,776,206,111,401,982,513,718,565,178,448,354,143,,,,1.4,22700.0,25449.0,,,,,,,,5658.0,5374.7,154463,147268,,,,,,,,,22.56,94.44,23.61,98.84,20.0
1991-05-01,65.41,73.84,72.02,119.53,116.6,43.82,,2197,977,1016,849,203,137,484,1025,481,683,570,189,464,435,165,,,,1.43,24056.0,26321.0,,,,,,,,6815.3,5140.8,185920,140754,,,,,,,,,23.08,96.29,23.94,99.87,23.0
1991-06-01,65.57,73.62,71.49,119.77,116.25,43.68,,2287,981,949,796,152,152,433,1057,498,626,464,191,502,383,176,,,,1.37,23419.0,27079.0,,,,,,,,6914.2,5199.2,187788,141729,,,,,,,,,23.56,97.9,24.29,100.97,24.0
1991-07-01,66.02,73.48,70.89,119.51,115.24,43.72,,2255,869,1083,746,166,131,410,1036,490,568,482,240,541,414,168,,,,1.82,23961.0,27813.0,,,,,,,,7140.1,5494.8,192998,149074,,,,,,,,,23.97,99.26,24.6,101.86,29.0
1991-08-01,66.17,73.1,69.83,119.4,114.01,43.71,,2333,835,1013,754,144,146,402,1075,463,623,523,256,511,424,185,,,,1.78,23686.0,26636.0,,,,,,,,6199.2,5206.1,165828,139783,,,,,,,,,24.3,100.27,24.84,102.51,27.0
1991-09-01,66.27,73.36,69.65,119.32,113.23,43.89,,2307,919,996,758,143,139,430,960,499,639,541,195,550,407,180,,,,1.79,24208.0,27434.0,,,,,,,,6994.9,5276.6,185646,140568,,,,,,,,,24.57,101.03,25.02,102.88,27.0
1991-10-01,66.92,73.91,69.74,119.45,112.65,44.0,,2356,864,1035,796,127,119,428,1008,504,625,487,207,579,371,194,,,,1.56,24153.0,26462.0,,,,,,,,6666.8,5528.0,176135,146603,,,,,,,,,24.78,101.49,25.1,102.83,30.0
