,進口_資本設備(貿易結構別按美元計算)
2001-01-01,2302.315
2001-02-01,2222.816
2001-03-01,2591.228
2001-04-01,2668.307
2001-05-01,2139.065
2001-06-01,2305.644
2001-07-01,2315.851
2001-08-01,1639.841
2001-09-01,1499.382
2001-10-01,2136.829
2001-11-01,1825.51
2001-12-01,1732.314
2002-01-01,1685.893
2002-02-01,1320.737
2002-03-01,2160.895
2002-04-01,2105.154
2002-05-01,1869.611
2002-06-01,2036.871
2002-07-01,2717.669
2002-08-01,1950.504
2002-09-01,2141.861
2002-10-01,2281.824
2002-11-01,2010.858
2002-12-01,2213.116
2003-01-01,1745.387
2003-02-01,1690.752
2003-03-01,2063.404
2003-04-01,1872.037
2003-05-01,1554.901
2003-06-01,1871.023
2003-07-01,2236.056
2003-08-01,2002.886
2003-09-01,1910.457
2003-10-01,2211.539
2003-11-01,2552.354
2003-12-01,2780.308
2004-01-01,1932.805
2004-02-01,2647.141
2004-03-01,2955.162
2004-04-01,2691.429
2004-05-01,2650.641
2004-06-01,2876.758
2004-07-01,2835.495
2004-08-01,2846.072
2004-09-01,2958.183
2004-10-01,3239.344
2004-11-01,3462.309
2004-12-01,3509.092
2005-01-01,3191.956
2005-02-01,2002.306
2005-03-01,3293.32
2005-04-01,3239.522
2005-05-01,3440.985
2005-06-01,2915.274
2005-07-01,2872.718
2005-08-01,2514.517
2005-09-01,2596.165
2005-10-01,2817.139
2005-11-01,2397.522
2005-12-01,2196.614
2006-01-01,2240.556
2006-02-01,2427.948
2006-03-01,2742.939
2006-04-01,2775.825
2006-05-01,2847.041
2006-06-01,3041.199
2006-07-01,3326.927
2006-08-01,2705.596
2006-09-01,2623.431
2006-10-01,2667.395
2006-11-01,3038.015
2006-12-01,2916.113
2007-01-01,2468.308
2007-02-01,1770.824
2007-03-01,2880.227
2007-04-01,3101.722
2007-05-01,2990.427
2007-06-01,3332.0
2007-07-01,3571.482
2007-08-01,2838.42
2007-09-01,2803.972
2007-10-01,2652.754
2007-11-01,2482.667
2007-12-01,3332.429
2008-01-01,3059.277
2008-02-01,2100.525
2008-03-01,3438.165
2008-04-01,3312.248
2008-05-01,2551.324
2008-06-01,2905.621
2008-07-01,2590.81
2008-08-01,2510.543
2008-09-01,2613.253
2008-10-01,2213.551
2008-11-01,1970.76
2008-12-01,1673.229
2009-01-01,1413.413
2009-02-01,1601.459
2009-03-01,1625.883
2009-04-01,1508.36
2009-05-01,1457.141
2009-06-01,1956.588
2009-07-01,1898.06
2009-08-01,2047.541
2009-09-01,2118.59
2009-10-01,2423.044
2009-11-01,2633.527
2009-12-01,2560.963
2010-01-01,2359.7
2010-02-01,2220.377
2010-03-01,3462.111
2010-04-01,3055.274
2010-05-01,3272.931
2010-06-01,2968.944
2010-07-01,3235.289
2010-08-01,3480.055
2010-09-01,3568.371
2010-10-01,3441.913
2010-11-01,4023.028
2010-12-01,3523.86
2011-01-01,3361.545
2011-02-01,2833.846
2011-03-01,3586.228
2011-04-01,2999.904
2011-05-01,3966.955
2011-06-01,3247.287
2011-07-01,3011.87
2011-08-01,2863.972
2011-09-01,2576.663
2011-10-01,2702.845
